iso3,country,region,year,hdi,GNI_pc,population,HDI_category
LKA,Sri Lanka,SA,2014,0.767,12527.14802,21547456.0,High
TUR,Türkiye,ECA,2014,0.813,24941.41901,78036154.0,Very High
BGD,Bangladesh,SA,2015,0.621,5582.619597,159383179.0,Medium
BTN,Bhutan,SA,2015,0.637,11365.18601,740618.0,Medium
CHN,China,EAP,2015,0.75,14505.20493,1396134174.0,High
IND,India,SA,2015,0.633,6443.561001,1328024498.0,Medium
KGZ,Kyrgyzstan,ECA,2015,0.695,5496.936868,6001882.0,Medium
NPL,Nepal,SA,2015,0.575,3825.117284,27823629.0,Medium
PAK,Pakistan,SA,2015,0.527,4713.527393,217290882.5,Low
LKA,Sri Lanka,SA,2015,0.769,12785.98477,21729971.5,High
TUR,Türkiye,ECA,2015,0.821,25737.01402,80014226.0,Very High
BGD,Bangladesh,SA,2016,0.632,5987.015851,160811932.5,Medium
BTN,Bhutan,SA,2016,0.647,12043.98898,747866.0,Medium
CHN,China,EAP,2016,0.758,15406.83992,1404052632.0,High
IND,India,SA,2016,0.644,6894.228147,1343944296.0,Medium
KGZ,Kyrgyzstan,ECA,2016,0.7,5539.094964,6108461.5,High
NPL,Nepal,SA,2016,0.58,3802.475928,27955462.0,Medium
PAK,Pakistan,SA,2016,0.535,4953.573222,220138868.5,Low
LKA,Sri Lanka,SA,2016,0.772,13357.40609,21910772.5,High
TUR,Türkiye,ECA,2016,0.826,26029.16467,81652088.5,Very High
BGD,Bangladesh,SA,2017,0.633,6228.122571,162186146.5,Medium
BTN,Bhutan,SA,2017,0.656,12334.453,754334.5,Medium
CHN,China,EAP,2017,0.765,16439.18921,1412354727.0,High
IND,India,SA,2017,0.649,7282.890554,1359657400.0,Medium
KGZ,Kyrgyzstan,ECA,2017,0.704,5707.478922,6220149.5,High
NPL,Nepal,SA,2017,0.588,4087.44999,28011258.0,Medium
PAK,Pakistan,SA,2017,0.537,5116.221719,223273967.5,Low
LKA,Sri Lanka,SA,2017,0.777,14172.86973,22087522.0,High
TUR,Türkiye,ECA,2017,0.833,27378.71615,83083662.0,Very High
BGD,Bangladesh,SA,2018,0.646,6641.699214,163523103.5,Medium
BTN,Bhutan,SA,2018,0.667,12637.89661,759759.0,Medium
CHN,China,EAP,2018,0.774,17412.53887,1419008956.0,High
IND,India,SA,2018,0.648,7670.645786,1374659064.0,Medium
KGZ,Kyrgyzstan,ECA,2018,0.708,5908.042912,6341732.0,High
NPL,Nepal,SA,2018,0.596,4333.614868,28079689.0,Medium
PAK,Pakistan,SA,2018,0.538,5345.547682,226928892.5,Low
LKA,Sri Lanka,SA,2018,0.782,14380.40569,22253118.0,High
TUR,Türkiye,ECA,2018,0.838,27985.12725,84415968.5,Very High
BGD,Bangladesh,SA,2019,0.656,7092.492311,164913055.0,Medium
BTN,Bhutan,SA,2019,0.68,13305.30091,764824.0,Medium
CHN,China,EAP,2019,0.781,18413.61937,1423520358.0,High
IND,India,SA,2019,0.651,7895.441397,1389030312.0,Medium
KGZ,Kyrgyzstan,ECA,2019,0.708,5715.032402,6494035.0,High
NPL,Nepal,SA,2019,0.604,4588.130854,28414063.5,Medium
PAK,Pakistan,SA,2019,0.54,5379.131929,230800898.5,Low
LKA,Sri Lanka,SA,2019,0.781,14227.17535,22410551.5,High
TUR,Türkiye,ECA,2019,0.841,27864.81803,85357672.0,Very High
BGD,Bangladesh,SA,2020,0.663,7256.570492,166298024.0,Medium
BTN,Bhutan,SA,2020,0.688,12182.50475,770006.0,Medium
CHN,China,EAP,2020,0.786,18683.02015,1426106093.0,High
IND,India,SA,2020,0.652,7331.951385,1402617696.0,Medium
KGZ,Kyrgyzstan,ECA,2020,0.7,5500.532152,6664139.5,High
NPL,Nepal,SA,2020,0.599,4405.203587,28966574.5,Medium
PAK,Pakistan,SA,2020,0.536,5214.820827,235001746.0,Low
LKA,Sri Lanka,SA,2020,0.78,13504.51058,22561807.0,High
TUR,Türkiye,ECA,2020,0.838,28244.92019,86091691.5,Very High
BGD,Bangladesh,SA,2021,0.663,7754.226262,167658854.5,Medium
BTN,Bhutan,SA,2021,0.691,12664.17093,775441.5,Medium
CHN,China,EAP,2021,0.794,20264.56554,1426437267.0,High
IND,India,SA,2021,0.647,7992.775136,1414203896.0,Medium
KGZ,Kyrgyzstan,ECA,2021,0.704,5412.229415,6820478.5,High
NPL,Nepal,SA,2021,0.596,4485.33701,29475010.0,Medium
PAK,Pakistan,SA,2021,0.537,5484.459418,239477800.5,Low
LKA,Sri Lanka,SA,2021,0.777,13994.62279,22700372.0,High
TUR,Türkiye,ECA,2021,0.841,31225.32612,86686252.5,Very High
BGD,Bangladesh,SA,2022,0.68,8114.366836,169384897.5,Medium
BTN,Bhutan,SA,2022,0.695,13334.54642,780914.5,Medium
CHN,China,EAP,2022,0.796,20888.85431,1425179569.0,High
IND,India,SA,2022,0.676,8475.67988,1425423213.0,Medium
KGZ,Kyrgyzstan,ECA,2022,0.717,5822.80717,6955788.0,High
NPL,Nepal,SA,2022,0.605,4660.851964,29715436.0,Medium
PAK,Pakistan,SA,2022,0.544,5631.496898,243700667.0,Low
LKA,Sri Lanka,SA,2022,0.777,12910.50608,22834965.0,High
TUR,Türkiye,ECA,2022,0.853,32923.6859,87058472.5,Very High
BGD,Bangladesh,SA,2023,0.685,8497.658639,171466990.0,Medium
BTN,Bhutan,SA,2023,0.698,13842.80353,786385.0,Medium
CHN,China,EAP,2023,0.797,22029.22253,1422584933.0,High
IND,India,SA,2023,0.685,9046.756336,1438069596.0,Medium
KGZ,Kyrgyzstan,ECA,2023,0.72,6078.117589,7073515.5,High
NPL,Nepal,SA,2023,0.622,4725.930613,29694614.5,Medium
PAK,Pakistan,SA,2023,0.544,5501.132932,247504495.5,Low
LKA,Sri Lanka,SA,2023,0.776,12615.60045,22971617.0,High
TUR,Türkiye,ECA,2023,0.853,34506.98065,87270501.5,Very High
